1, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.01, climb = -0.01
56, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.1, climb = 0
58, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.1, climb = 0
59, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 30, altitude = 0.08, climb = 0
60, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.07, climb = 0
61, VFR HUD airspeed = 0, groundspeed = 0, heading = 295, throttlePercentage = 29, altitude = 0.08, climb = 0
62, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.11, climb = 0.01
64, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.11, climb = 0.01
65, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.1, climb = 0
66, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.13, climb = 0.01
67, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.13, climb = 0.01
70, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.17, climb = 0
71, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.17, climb = 0
72, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.18, climb = 0
74, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.18, climb = 0
75, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.12, climb = -0.01
77, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.09, climb = -0.01
79, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.11, climb = -0.01
80, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.14, climb = 0
81, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.14, climb = 0
82, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.18, climb = 0
83, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.2, climb = 0.01
85, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.22, climb = 0.01
86, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.23, climb = 0.02
87, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.22, climb = 0.01
88, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.22, climb = 0.01
89, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 30, altitude = 0.2, climb = 0.01
90, VFR HUD airspeed = 0, groundspeed = 0, heading = 294, throttlePercentage = 29, altitude = 0.19, climb = 0.01
92, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.18, climb = 0.01
93, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.18, climb = 0.01
94, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 29, altitude = 0.15, climb = 0.01
96, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 29, altitude = 0.15, climb = 0.01
97, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.12, climb = 0
1, VFR HUD airspeed = 0.19, groundspeed = 0.19, heading = 224, throttlePercentage = 0, altitude = 7.54, climb = 0.04
2, VFR HUD airspeed = 0.24, groundspeed = 0.24, heading = 224, throttlePercentage = 0, altitude = 7.61, climb = 0.05
3, VFR HUD airspeed = 0.24, groundspeed = 0.24, heading = 224, throttlePercentage = 0, altitude = 7.61, climb = 0.05
4, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 224, throttlePercentage = 0, altitude = 7.72, climb = 0.06
5, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 224, throttlePercentage = 0, altitude = 7.72, climb = 0.06
6, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 224, throttlePercentage = 0, altitude = 7.72, climb = 0.06
7, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 224, throttlePercentage = 0, altitude = 7.72, climb = 0.06
8, VFR HUD airspeed = 0.18, groundspeed = 0.18, heading = 224, throttlePercentage = 0, altitude = 0, climb = 0.07
9, VFR HUD airspeed = 0.18, groundspeed = 0.18, heading = 224, throttlePercentage = 0, altitude = 0, climb = 0.07
10, VFR HUD airspeed = 0.05, groundspeed = 0.05, heading = 224, throttlePercentage = 22, altitude = 0.19, climb = 0.1
11, VFR HUD airspeed = 0.13, groundspeed = 0.13, heading = 224, throttlePercentage = 22, altitude = 0.45, climb = 0.13
12, VFR HUD airspeed = 0.13, groundspeed = 0.13, heading = 224, throttlePercentage = 22, altitude = 0.45, climb = 0.13
13, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 224, throttlePercentage = 33, altitude = 0.62, climb = 0.15
14, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 224, throttlePercentage = 33, altitude = 0.62, climb = 0.15
15, VFR HUD airspeed = 0.27, groundspeed = 0.27, heading = 222, throttlePercentage = 58, altitude = 1.14, climb = 0.78
16, VFR HUD airspeed = 0.61, groundspeed = 0.61, heading = 225, throttlePercentage = 56, altitude = 2.13, climb = 0.97
17, VFR HUD airspeed = 0.33, groundspeed = 0.33, heading = 227, throttlePercentage = 56, altitude = 3.03, climb = 0.89
18, VFR HUD airspeed = 0.33, groundspeed = 0.33, heading = 227, throttlePercentage = 56, altitude = 3.03, climb = 0.89
19, VFR HUD airspeed = 0.6, groundspeed = 0.6, heading = 228, throttlePercentage = 57, altitude = 4.21, climb = 1.05
20, VFR HUD airspeed = 0.6, groundspeed = 0.6, heading = 228, throttlePercentage = 57, altitude = 4.21, climb = 1.05
21, VFR HUD airspeed = 0.57, groundspeed = 0.57, heading = 225, throttlePercentage = 57, altitude = 5.09, climb = 0.96
22, VFR HUD airspeed = 0.57, groundspeed = 0.57, heading = 226, throttlePercentage = 56, altitude = 5.98, climb = 0.92
23, VFR HUD airspeed = 0.57, groundspeed = 0.57, heading = 226, throttlePercentage = 56, altitude = 5.98, climb = 0.92
1, VFR HUD airspeed = 0.36, groundspeed = 0.36, heading = 226, throttlePercentage = 57, altitude = 6.73, climb = 0.71
2, VFR HUD airspeed = 0.36, groundspeed = 0.36, heading = 226, throttlePercentage = 57, altitude = 6.73, climb = 0.71
3, VFR HUD airspeed = 0.45, groundspeed = 0.45, heading = 224, throttlePercentage = 60, altitude = 7.2, climb = 0.5
4, VFR HUD airspeed = 0.34, groundspeed = 0.34, heading = 226, throttlePercentage = 66, altitude = 8.72, climb = 2.03
5, VFR HUD airspeed = 0.34, groundspeed = 0.34, heading = 226, throttlePercentage = 66, altitude = 8.72, climb = 2.03
6, VFR HUD airspeed = 0.14, groundspeed = 0.14, heading = 223, throttlePercentage = 55, altitude = 11.03, climb = 2.47
7, VFR HUD airspeed = 0.59, groundspeed = 0.59, heading = 225, throttlePercentage = 55, altitude = 12.88, climb = 1.66
8, VFR HUD airspeed = 0.59, groundspeed = 0.59, heading = 225, throttlePercentage = 55, altitude = 12.88, climb = 1.66
9, VFR HUD airspeed = 1.44, groundspeed = 1.44, heading = 224, throttlePercentage = 55, altitude = 14.12, climb = 1.02
10, VFR HUD airspeed = 1.44, groundspeed = 1.44, heading = 224, throttlePercentage = 55, altitude = 14.12, climb = 1.02
11, VFR HUD airspeed = 1.45, groundspeed = 1.45, heading = 222, throttlePercentage = 56, altitude = 14.84, climb = 0.6
12, VFR HUD airspeed = 0.6, groundspeed = 0.6, heading = 226, throttlePercentage = 55, altitude = 15.67, climb = 0.58
13, VFR HUD airspeed = 0.6, groundspeed = 0.6, heading = 226, throttlePercentage = 55, altitude = 15.67, climb = 0.58
14, VFR HUD airspeed = 0.66, groundspeed = 0.66, heading = 229, throttlePercentage = 56, altitude = 16.98, climb = 0.89
15, VFR HUD airspeed = 0.66, groundspeed = 0.66, heading = 229, throttlePercentage = 56, altitude = 16.98, climb = 0.89
16, VFR HUD airspeed = 1.5, groundspeed = 1.5, heading = 226, throttlePercentage = 56, altitude = 18.2, climb = 1.14
17, VFR HUD airspeed = 1.78, groundspeed = 1.78, heading = 226, throttlePercentage = 46, altitude = 19.62, climb = 1.15
18, VFR HUD airspeed = 1.78, groundspeed = 1.78, heading = 226, throttlePercentage = 46, altitude = 19.62, climb = 1.15
19, VFR HUD airspeed = 1.22, groundspeed = 1.22, heading = 223, throttlePercentage = 54, altitude = 20.08, climb = 0.38
20, VFR HUD airspeed = 1.22, groundspeed = 1.22, heading = 223, throttlePercentage = 54, altitude = 20.08, climb = 0.38
21, VFR HUD airspeed = 1.29, groundspeed = 1.29, heading = 229, throttlePercentage = 51, altitude = 20.4, climb = 0.15
22, VFR HUD airspeed = 0.92, groundspeed = 0.92, heading = 226, throttlePercentage = 56, altitude = 20.31, climb = 0.14
3, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 219, throttlePercentage = 61, altitude = 19.92, climb = -0.02
4, VFR HUD airspeed = 0.26, groundspeed = 0.26, heading = 219, throttlePercentage = 58, altitude = 19.98, climb = -0.01
5, VFR HUD airspeed = 0.26, groundspeed = 0.26, heading = 219, throttlePercentage = 58, altitude = 19.98, climb = -0.01
6, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 219, throttlePercentage = 56, altitude = 20.08, climb = -0.11
7, VFR HUD airspeed = 0.66, groundspeed = 0.66, heading = 227, throttlePercentage = 54, altitude = 20.22, climb = -0.28
8, VFR HUD airspeed = 0.66, groundspeed = 0.66, heading = 227, throttlePercentage = 54, altitude = 20.22, climb = -0.28
9, VFR HUD airspeed = 0.39, groundspeed = 0.39, heading = 225, throttlePercentage = 57, altitude = 20.08, climb = -0.18
10, VFR HUD airspeed = 0.51, groundspeed = 0.51, heading = 225, throttlePercentage = 55, altitude = 19.96, climb = 0.02
11, VFR HUD airspeed = 0.51, groundspeed = 0.51, heading = 225, throttlePercentage = 55, altitude = 19.96, climb = 0.02
12, VFR HUD airspeed = 0.15, groundspeed = 0.15, heading = 226, throttlePercentage = 57, altitude = 19.96, climb = -0.05
13, VFR HUD airspeed = 0.15, groundspeed = 0.15, heading = 226, throttlePercentage = 57, altitude = 19.96, climb = -0.05
14, VFR HUD airspeed = 0.31, groundspeed = 0.31, heading = 225, throttlePercentage = 54, altitude = 19.87, climb = 0.06
15, VFR HUD airspeed = 0.21, groundspeed = 0.21, heading = 227, throttlePercentage = 55, altitude = 19.88, climb = 0.01
16, VFR HUD airspeed = 0.21, groundspeed = 0.21, heading = 227, throttlePercentage = 55, altitude = 19.88, climb = 0.01
17, VFR HUD airspeed = 0.36, groundspeed = 0.36, heading = 223, throttlePercentage = 65, altitude = 19.59, climb = 0.18
18, VFR HUD airspeed = 0.28, groundspeed = 0.28, heading = 221, throttlePercentage = 57, altitude = 19.7, climb = 0.28
21, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 219, throttlePercentage = 60, altitude = 19.87, climb = 0.03
22, VFR HUD airspeed = 0.38, groundspeed = 0.38, heading = 221, throttlePercentage = 59, altitude = 20.08, climb = -0.13
23, VFR HUD airspeed = 0.38, groundspeed = 0.38, heading = 221, throttlePercentage = 59, altitude = 20.08, climb = -0.13
24, VFR HUD airspeed = 0.54, groundspeed = 0.54, heading = 221, throttlePercentage = 58, altitude = 20.14, climb = -0.15
25, VFR HUD airspeed = 0.26, groundspeed = 0.26, heading = 217, throttlePercentage = 56, altitude = 20.32, climb = -0.39
26, VFR HUD airspeed = 0.26, groundspeed = 0.26, heading = 217, throttlePercentage = 56, altitude = 20.32, climb = -0.39
27, VFR HUD airspeed = 0.31, groundspeed = 0.31, heading = 219, throttlePercentage = 59, altitude = 20.12, climb = -0.26
28, VFR HUD airspeed = 0.31, groundspeed = 0.31, heading = 219, throttlePercentage = 59, altitude = 20.12, climb = -0.26
29, VFR HUD airspeed = 0.33, groundspeed = 0.33, heading = 219, throttlePercentage = 60, altitude = 19.99, climb = -0.07
30, VFR HUD airspeed = 0.19, groundspeed = 0.19, heading = 219, throttlePercentage = 56, altitude = 20, climb = 0.02
31, VFR HUD airspeed = 0.19, groundspeed = 0.19, heading = 219, throttlePercentage = 56, altitude = 20, climb = 0.02
32, VFR HUD airspeed = 0.28, groundspeed = 0.28, heading = 221, throttlePercentage = 61, altitude = 19.9, climb = -0.05
33, VFR HUD airspeed = 0.28, groundspeed = 0.28, heading = 221, throttlePercentage = 61, altitude = 19.9, climb = -0.05
34, VFR HUD airspeed = 0.44, groundspeed = 0.44, heading = 224, throttlePercentage = 60, altitude = 19.81, climb = 0.09
35, VFR HUD airspeed = 0.14, groundspeed = 0.14, heading = 227, throttlePercentage = 51, altitude = 19.97, climb = 0.17
36, VFR HUD airspeed = 0.14, groundspeed = 0.14, heading = 227, throttlePercentage = 51, altitude = 19.97, climb = 0.17
37, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 230, throttlePercentage = 54, altitude = 20.21, climb = -0.38
38, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 230, throttlePercentage = 54, altitude = 20.21, climb = -0.38
39, VFR HUD airspeed = 0.28, groundspeed = 0.28, heading = 230, throttlePercentage = 57, altitude = 20.08, climb = -0.24
40, VFR HUD airspeed = 0.62, groundspeed = 0.62, heading = 229, throttlePercentage = 57, altitude = 19.8, climb = 0.08
41, VFR HUD airspeed = 0.62, groundspeed = 0.62, heading = 229, throttlePercentage = 57, altitude = 19.8, climb = 0.08
42, VFR HUD airspeed = 0.25, groundspeed = 0.25, heading = 225, throttlePercentage = 61, altitude = 19.69, climb = 0.16
43, VFR HUD airspeed = 0.25, groundspeed = 0.25, heading = 225, throttlePercentage = 61, altitude = 19.69, climb = 0.16
44, VFR HUD airspeed = 0.26, groundspeed = 0.26, heading = 226, throttlePercentage = 60, altitude = 19.73, climb = 0.15
45, VFR HUD airspeed = 0.47, groundspeed = 0.47, heading = 221, throttlePercentage = 59, altitude = 19.98, climb = -0.05
46, VFR HUD airspeed = 0.47, groundspeed = 0.47, heading = 221, throttlePercentage = 59, altitude = 19.98, climb = -0.05
47, VFR HUD airspeed = 0.39, groundspeed = 0.39, heading = 221, throttlePercentage = 59, altitude = 20.04, climb = -0.1
48, VFR HUD airspeed = 0.4, groundspeed = 0.4, heading = 219, throttlePercentage = 59, altitude = 20.1, climb = -0.18
49, VFR HUD airspeed = 0.4, groundspeed = 0.4, heading = 219, throttlePercentage = 59, altitude = 20.1, climb = -0.18
50, VFR HUD airspeed = 0.41, groundspeed = 0.41, heading = 220, throttlePercentage = 56, altitude = 20.17, climb = -0.15
51, VFR HUD airspeed = 0.41, groundspeed = 0.41, heading = 220, throttlePercentage = 56, altitude = 20.17, climb = -0.15
52, VFR HUD airspeed = 0.33, groundspeed = 0.33, heading = 225, throttlePercentage = 57, altitude = 20.17, climb = -0.21
53, VFR HUD airspeed = 0.33, groundspeed = 0.33, heading = 229, throttlePercentage = 52, altitude = 20.28, climb = -0.31
54, VFR HUD airspeed = 0.33, groundspeed = 0.33, heading = 229, throttlePercentage = 52, altitude = 20.28, climb = -0.31
55, VFR HUD airspeed = 0.27, groundspeed = 0.27, heading = 228, throttlePercentage = 56, altitude = 20.14, climb = -0.23
56, VFR HUD airspeed = 0.27, groundspeed = 0.27, heading = 228, throttlePercentage = 56, altitude = 20.14, climb = -0.23
57, VFR HUD airspeed = 0.39, groundspeed = 0.39, heading = 227, throttlePercentage = 55, altitude = 20, climb = -0.06
58, VFR HUD airspeed = 0.42, groundspeed = 0.42, heading = 226, throttlePercentage = 57, altitude = 19.83, climb = 0.11
59, VFR HUD airspeed = 0.42, groundspeed = 0.42, heading = 226, throttlePercentage = 57, altitude = 19.83, climb = 0.11
60, VFR HUD airspeed = 0.26, groundspeed = 0.26, heading = 229, throttlePercentage = 50, altitude = 20, climb = 0.08
61, VFR HUD airspeed = 0.26, groundspeed = 0.26, heading = 229, throttlePercentage = 50, altitude = 20, climb = 0.08
62, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 227, throttlePercentage = 55, altitude = 19.81, climb = 0.07
63, VFR HUD airspeed = 0.3, groundspeed = 0.3, heading = 223, throttlePercentage = 55, altitude = 19.75, climb = -0.03
64, VFR HUD airspeed = 0.3, groundspeed = 0.3, heading = 223, throttlePercentage = 55, altitude = 19.75, climb = -0.03
65, VFR HUD airspeed = 0.19, groundspeed = 0.19, heading = 222, throttlePercentage = 55, altitude = 19.6, climb = -0.02
66, VFR HUD airspeed = 0.19, groundspeed = 0.19, heading = 222, throttlePercentage = 55, altitude = 19.6, climb = -0.02
67, VFR HUD airspeed = 0.19, groundspeed = 0.19, heading = 222, throttlePercentage = 58, altitude = 19.3, climb = 0.04
68, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 221, throttlePercentage = 57, altitude = 19.11, climb = -0.06
69, VFR HUD airspeed = 0.16, groundspeed = 0.16, heading = 221, throttlePercentage = 57, altitude = 19.11, climb = -0.06
70, VFR HUD airspeed = 0.55, groundspeed = 0.55, heading = 223, throttlePercentage = 55, altitude = 19.13, climb = -0.06
71, VFR HUD airspeed = 0.55, groundspeed = 0.55, heading = 223, throttlePercentage = 55, altitude = 19.13, climb = -0.06
72, VFR HUD airspeed = 0.37, groundspeed = 0.37, heading = 229, throttlePercentage = 52, altitude = 19.33, climb = -0.26
73, VFR HUD airspeed = 0.82, groundspeed = 0.82, heading = 233, throttlePercentage = 55, altitude = 19.51, climb = -0.57
74, VFR HUD airspeed = 0.82, groundspeed = 0.82, heading = 233, throttlePercentage = 55, altitude = 19.51, climb = -0.57
75, VFR HUD airspeed = 1.01, groundspeed = 1.01, heading = 227, throttlePercentage = 56, altitude = 19.23, climb = -0.33
76, VFR HUD airspeed = 1.01, groundspeed = 1.01, heading = 227, throttlePercentage = 56, altitude = 19.23, climb = -0.33
77, VFR HUD airspeed = 0.57, groundspeed = 0.57, heading = 227, throttlePercentage = 57, altitude = 19.01, climb = -0.06
78, VFR HUD airspeed = 0.24, groundspeed = 0.24, heading = 228, throttlePercentage = 59, altitude = 18.81, climb = 0.08
79, VFR HUD airspeed = 0.24, groundspeed = 0.24, heading = 228, throttlePercentage = 59, altitude = 18.81, climb = 0.08
80, VFR HUD airspeed = 0.62, groundspeed = 0.62, heading = 219, throttlePercentage = 61, altitude = 18.5, climb = 0.38
81, VFR HUD airspeed = 0.62, groundspeed = 0.62, heading = 219, throttlePercentage = 61, altitude = 18.5, climb = 0.38
82, VFR HUD airspeed = 0.57, groundspeed = 0.57, heading = 226, throttlePercentage = 54, altitude = 18.6, climb = -0.02
83, VFR HUD airspeed = 0.38, groundspeed = 0.38, heading = 224, throttlePercentage = 55, altitude = 18.45, climb = -0.4
84, VFR HUD airspeed = 0.38, groundspeed = 0.38, heading = 224, throttlePercentage = 55, altitude = 18.45, climb = -0.4
85, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 227, throttlePercentage = 55, altitude = 18.13, climb = -0.54
86, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 227, throttlePercentage = 55, altitude = 18.13, climb = -0.54
87, VFR HUD airspeed = 0.41, groundspeed = 0.41, heading = 226, throttlePercentage = 54, altitude = 17.69, climb = -0.3
88, VFR HUD airspeed = 0.55, groundspeed = 0.55, heading = 226, throttlePercentage = 57, altitude = 17.32, climb = -0.31
89, VFR HUD airspeed = 0.55, groundspeed = 0.55, heading = 226, throttlePercentage = 57, altitude = 17.32, climb = -0.31
90, VFR HUD airspeed = 0.39, groundspeed = 0.39, heading = 219, throttlePercentage = 64, altitude = 16.74, climb = -0.13
91, VFR HUD airspeed = 0.39, groundspeed = 0.39, heading = 219, throttlePercentage = 64, altitude = 16.74, climb = -0.13
92, VFR HUD airspeed = 0.59, groundspeed = 0.59, heading = 226, throttlePercentage = 54, altitude = 16.68, climb = -0.31
93, VFR HUD airspeed = 0.52, groundspeed = 0.52, heading = 224, throttlePercentage = 55, altitude = 16.16, climb = -0.33
94, VFR HUD airspeed = 0.52, groundspeed = 0.52, heading = 224, throttlePercentage = 55, altitude = 16.16, climb = -0.33
95, VFR HUD airspeed = 0.11, groundspeed = 0.11, heading = 227, throttlePercentage = 56, altitude = 15.82, climb = -0.15
96, VFR HUD airspeed = 0.11, groundspeed = 0.11, heading = 227, throttlePercentage = 56, altitude = 15.82, climb = -0.15
97, VFR HUD airspeed = 0.42, groundspeed = 0.42, heading = 224, throttlePercentage = 57, altitude = 15.55, climb = 0.1
98, VFR HUD airspeed = 0.42, groundspeed = 0.42, heading = 224, throttlePercentage = 57, altitude = 15.55, climb = 0.1
99, VFR HUD airspeed = 0.3, groundspeed = 0.3, heading = 225, throttlePercentage = 56, altitude = 15.53, climb = 0.14
100, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 223, throttlePercentage = 53, altitude = 15.53, climb = 0.23
101, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 223, throttlePercentage = 53, altitude = 15.53, climb = 0.23
102, VFR HUD airspeed = 0.15, groundspeed = 0.15, heading = 224, throttlePercentage = 59, altitude = 15.49, climb = 0.09
103, VFR HUD airspeed = 0.15, groundspeed = 0.15, heading = 224, throttlePercentage = 59, altitude = 15.49, climb = 0.09
104, VFR HUD airspeed = 0.43, groundspeed = 0.43, heading = 221, throttlePercentage = 62, altitude = 15.36, climb = 0.27
105, VFR HUD airspeed = 0.44, groundspeed = 0.44, heading = 221, throttlePercentage = 61, altitude = 15.5, climb = 0.17
106, VFR HUD airspeed = 0.44, groundspeed = 0.44, heading = 221, throttlePercentage = 61, altitude = 15.5, climb = 0.17
107, VFR HUD airspeed = 0.21, groundspeed = 0.21, heading = 219, throttlePercentage = 62, altitude = 15.61, climb = 0.02
108, VFR HUD airspeed = 0.21, groundspeed = 0.21, heading = 219, throttlePercentage = 62, altitude = 15.61, climb = 0.02
109, VFR HUD airspeed = 0.38, groundspeed = 0.38, heading = 226, throttlePercentage = 56, altitude = 15.85, climb = -0.03
110, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 217, throttlePercentage = 65, altitude = 15.79, climb = -0.3
